Medication_Name,Package_Size,Max_Consumer_Price
ABBOSYNAGIS 100MG PUL FOR INJ+SOLV,1,5219.66
ABBOSYNAGIS 50MG PUL FOR INJ+SOLV,1,3022.09
ABILIFY 10MG 28TAB,28,587.92
ABILIFY 15MG 28TAB,28,569.72
ABILIFY 30MG 28TAB,28,883.36
ABILIFY 5MG 28TAB,28,549.49
ABITREN 100MG 10 SR TAB,10,11.75
ABITREN 100MG 20 SR TAB,20,23.49
ABITREN 25MG 20TAB,20,5.74
ABITREN 50MG 10SUPP,10,10.97
ABITREN INJ 75MG/3CC,5,10.94
ACERIL 12.5MG 90TAB,90,27.5
ACERIL 25MG 90TAB,90,48.53
ACERIL 50MG 90TAB,90,85.68
ACLASTA 5MG/100ML 1BOTTLE,1,2023.2
ACNETRIM SOL 25ML,25,16.41
ACROSE 100MG 30TAB,30,31.98
ACROSE 50MG 30TAB,30,22.38
ACTEMRA 20MG/ML 1X10ML(200mg) CONC. FOR SOLUTION FOR INF.,1,2055.66
ACTEMRA 20MG/ML 1X20ML(400mg) CONC. FOR SOLUTION FOR INF.,1,4049.14
ACTEMRA 20MG/ML 1X4ML(80mg) CONC. FOR SOLUTION FOR INF.,1,831.13
ACTIQ 1200MCG 30 COMPRESSED TAB,30,1252.57
ACTIQ 1600MCG 30 COMPRESSED TAB,30,1252.57
ACTIQ 200MCG 30 COMPRESSED TAB,30,1128.84
ACTIQ 400MCG 30 COMPRESSED TAB,30,1128.84
ACTIQ 600MCG 30 COMPRESSED TAB,30,1128.84
ACTIQ 800MCG 30 COMPRESSED TAB,30,1133.84
ACTIVELLE 28TAB,28,49.45
ACTONEL 30MG 28TAB,28,759.27
ACTONEL 5MG 28TAB,28,108.59
ACTONEL 75MG 2TAB,2,123.73
ACTONEL ONCE A WEEK 35MG 4TAB,4,86.45
ADAFERIN CREAM 0.1% 30GR,30,38.19
ADAFERINE GEL 30GR,30,38.19
ADIZEM CD 120MG 30CAP,30,42.13
ADIZEM CD 180MG 30CAP,30,48.83
ADIZEM CD 240MG 30CAP,30,66.33
AERIUS 5MG 15TAB,15,29.63
AERIUS SYRUP 0.5MG/ML 120ML,120,26.14
AEROVENT SOL 20ML,20,30.2
AFINITOR 10MG 30TABLETS,30,21516.75
AFINITOR 2.5MG 30TABLETS,30,8229.75
AFINITOR 5MG 30TABLETS,30,17747.77
AGGRENOX 60 CAPS,60,79.09
AGIOLAX GRANULES 200GR,200,63.03
AGISERC 16MG 30TAB,30,18.82
AGISPOR CREAM 15GR,15,27.02
AGISPOR GEL 15GR,15,14.62
AGISPOR ONYCHOSET OINT 10GR (WITH WATER PROOF PLASTERS),10,122.34
AGISPOR SOL 15ML,15,18.43
AGISTEN 1 VAGINAL TAB  0.5GR,1,13.19
AGISTEN 3 VCR 20GR 2%,20,23.78
AGISTEN 6 VAGINAL TAB 0.1GR,6,16.36
AGRIPPAL S1,1,31.31
AGRYLIN 0.5MG 100CAP,100,2410.24
AHISTON 2MG 20TAB,20,19.49
AKNE-MYCIN PLUS SOL 25ML,25,55.06
AKNE-MYCIN SOL 25ML,25,16.41
ALCON AZOPT 1% 5ML,5,62.46
ALDACTONE 25MG 20T,20,11.76
ALDARA 5% CREAM 12SACH,12,335.23
ALDOSPIRONE 100MG 20TAB,20,21.27
ALDOSPIRONE 25MG 20TAB,20,11.76
ALENDRONATE TEVA 10MG 30TAB,30,93.7
ALENDRONATE TEVA 70MG 4TAB,4,66.29
ALFU-KAL XL 10MG 30TAB,30,77.56
ALFUZOSIN ER TEVA 10MG 30 XR TAB,30,77.56
ALFUZOSIN WINTHROP XL 10MG 30 TAB,30,77.56
ALKERAN  2MG 25 TABS,25,25.13
ALKERAN INJ 50MG/10ML,1,161.13
ALLEGRO NASAL SPRAY 15ML (120DOSES),120,51.82
ALLORIL 100MG 50TAB,50,11.45
ALLORIL 300MG 20TAB,20,9.89
ALOMIDE 10ML,10,42.73
ALPHA D3 0.25MCG 30CAP,30,28.03
ALPHA D3 0.25MCG 50CAP,50,46.72
ALPHA D3 1MCG 30CAP,30,71.27
ALPHA D3 1MCG 50CAP,50,118.78
ALPRALID 0.25MG 30TAB,30,8.88
ALPRALID 0.50MG 30TAB,30,13.92
ALPRALID 1MG 30TAB,30,22.95
ALPROX 0.25MG 30TAB,30,8.88
ALPROX 0.50MG 30TAB,30,13.92
ALPROX 1MG 30TAB,30,22.95
ALVESCO 160MCG 60 ACT SOL  FOR INH,60,152.72
AMARYL 1MG 30TAB,30,15.04
AMARYL 2MG 30TAB,30,21.58
AMARYL 3MG 30TAB,30,31.11
AMARYL 4MG 30TAB,30,38.07
AMIODACORE 200MG 30TAB,30,28.44
AMIODACORE INJECTION 150MG/3ML 6X3AMP,6,18.8
AMLODIPINE PHARMASWISS 10 MG 20TAB,20,24.1
AMLODIPINE PHARMASWISS 5 MG 20TAB,20,14.08
AMLODIPINE TEVA 10MG 20TAB,20,24.1
AMLODIPINE TEVA 5MG 20TAB,20,14.08
AMLOW 10MG 20TAB,20,24.1
AMLOW 5MG 20TAB,20,14.08
AMOXICLAV TEVA 875MG 14TAB,14,41.01
AMOXICLAV-TEVA 250 SUSP 100ML,100,24.77
AMOXICLAV-TEVA 250MG 20TAB,20,28.59
AMOXICLAV-TEVA 500 20TAB,20,37.79
ANAFRANIL 25MG 30TAB,30,14.21
ANAFRANIL SR 75MG 20TAB,20,31.37
ANASTROL 1MG 30TAB,30,304.72
ANASTROZOLE 1MG 30TAB,30,304.72
ANASTROZOLE INOVAMED 1MG 30TAB,30,304.72
ANDROCUR 10MG 15TAB,15,30.17
ANDROCUR 50MG 50TAB,50,180.26
ANDROGEL 25MG 30SACHX2.5G,30,278.72
ANDROGEL 50MG 30SACHX5G,30,256.17
ANDROXON 40MG 30CAP,30,49.04
ANGELIQ 1X28TAB,28,91.38
APIDRA 100 IU/ML CART 5X3ML,15,182.92
APIDRA OPTISET/SOLOSTAR PREFILLED PEN 5X3ML,15,193.26
APIDRA VIAL 1X10ML,10,118.32
APO GO PEN 10MG/ML 5X3ML,5,769.9
APO-GO 10MG/ML 5AMPX2ML,5,260.33
APO-GO 10MG/ML 5AMPX5ML,5,301.71
APOVENT SOL 20ML,20,30.2
AQUADON 100MG 20TAB,20,7.97
AQUIMOD CREAM 5 % 12SACHET (0.25G),12,335.23
ARAGEST 2.5MG 30TAB,30,14.71
ARAGEST 5MG 30TAB,30,16.6
ARANESP 100MCG 4 PREFILLED SYR 0.5ML,4,4428.72
ARANESP 100MCG PREFILLED PEN 1X0.5ML,1,1110.89
ARANESP 10MCG 4 PREFILLED SYR 0.4ML,4,455.04
ARANESP 150MCG 4 PREFILLED SYR 0.3ML,4,6413.33
ARANESP 150MCG PREFILLED PEN 1X0.3ML,1,1632.03
ARANESP 20MCG 4 PREFILLED SYR 0.5ML,4,739.24
ARANESP 20MCG PREFILLED PEN 1X0.5ML,1,224.13
ARANESP 300MCG PREFILLED PEN 1X0.6ML,1,3202.81
ARANESP 30MCG 4 PREFILLED SYR 0.3ML,4,1355.35
ARANESP 40MCG PREFILLED PEN 1X0.4ML,1,451.03
ARANESP 500MCG PREFILLED PEN 1X1ML,1,5181.09
ARANESP 50MCG 4 PREFILLED SYR 0.5ML,4,2367.6
ARANESP 50MCG PREFILLED PEN 1X0.5ML,1,652.93
ARANESP 60MCG 4 PREFILLED SYR 0.3ML,4,2690.67
ARANESP 60MCG PREFILLED PEN 1X0.3ML,1,673.58
ARANESP 80MCG 4 PREFILLED SYR 0.4ML,4,3581.02
