Medication_Name|Package_Size|Max_Consumer_Price
ABBOSYNAGIS 100MG PUL FOR INJ+SOLV|1|4496.68
ABBOSYNAGIS 50MG PUL FOR INJ+SOLV|1|2689.1
ABILIFY 10MG 28TAB|28|535.52
ABILIFY 15MG 28TAB|28|519.71
ABILIFY 30MG 28TAB|28|818.62
ABILIFY 5MG 28TAB|28|490.71
ABITREN 100MG 10 SR TAB|10|9.83
ABITREN 100MG 20 SR TAB|20|19.66
ABITREN 50MG 10SUPP|10|11.01
ABITREN INJ 75MG/3CC|5|11.06
ABSTRAL 100MCG 30TAB SUBLINGUAL|30|923.95
ABSTRAL 200MCG 30TAB SUBLINGUAL|30|1003.95
ABSTRAL 400MCG 30TAB SUBLINGUAL|30|1035.6
ABSTRAL 600MCG 30TAB SUBLINGUAL|30|1049.61
ABSTRAL 800MCG 30 TAB SUBLINGUAL|30|1040.3
ACERIL 12.5MG 90TAB|90|30.28
ACERIL 25MG 90TAB|90|35.94
ACERIL 50MG 90TAB|90|57.33
ACLASTA 5MG/100ML 1BOTTLE|1|1553.3
ACNETRIM SOL 25ML|25|16.71
ACROSE 100MG 30TAB|30|27.09
ACROSE 50MG 30TAB|30|18.8
ACTEMRA 20MG/ML 1X10ML(200MG) CONC. FOR SOLUTION FOR INF.|1|1912.64
ACTEMRA 20MG/ML 1X4ML(80MG) CONC. FOR SOLUTION FOR INF.|1|773.39
ACTIQ 1200MCG 30 COMPRESSED TAB|30|1160.12
ACTIQ 1600MCG 30 COMPRESSED TAB|30|1160.12
ACTIQ 200MCG 30 COMPRESSED TAB|30|1003.95
ACTIQ 400MCG 30 COMPRESSED TAB|30|1035.6
ACTIQ 600MCG 30 COMPRESSED TAB|30|1049.61
ACTIQ 800MCG 30 COMPRESSED TAB|30|1040.3
ACTIVELLE 28TAB|28|52.91
ACTONEL 5MG 28TAB|28|77.65
ACTOS 15MG 28TAB|28|86.15
ACTOS 30MG 28TAB|28|145.15
ACTOS 45MG 28TAB|28|197.31
ACYCLO-V 200MG 30TAB|30|43.48
ACYCLO-V 400MG 30TAB|30|35.84
ACYCLOVENIR 250MG 5VIAL/10ML|5|207.42
ADAFERIN CREAM 0.1% 30GR|30|36.84
ADAFERINE GEL 30GR|30|36.84
ADCETRIS 50MG/VIAL|1|19751.75
ADCIRCA 20MG 56TAB|56|2794.56
ADIZEM CD 120MG 30CAP|30|34.04
ADIZEM CD 180MG 30CAP|30|43.63
ADIZEM CD 240MG 30CAP|30|58.87
AERIUS 5MG 15TAB|15|13.7
AERIUS 5MG 30TAB|30|27.41
AERIUS SYRUP 0.5MG/ML 120ML|120|14.83
AEROVENT SOL 20ML|20|31.33
AFINITOR 10MG 30TABLETS|30|18528.88
AFINITOR 2.5MG 30TABLETS|30|7609.36
AFINITOR 5MG 30TABLETS|30|13325.77
AGGRASTAT 0.05MG/ML BAG 250ML|250|943.32
AGGRENOX 60 CAPS|60|68.64
AGIOLAX GRANULES 200GR|200|54.02
AGISERC 16MG 30TAB|30|15.48
AGISPOR CREAM 15GR|15|25.06
AGISPOR GEL 15GR|15|11.05
AGISPOR ONYCHOSET OINT 10GR (WITH WATER PROOF PLASTERS)|10|120.16
AGISPOR SOL 15ML|15|17.58
AGISTEN 1 VAGINAL TAB  0.5GR|1|12.44
AGISTEN 3 VCR 20GR 2%|20|24.36
AGISTEN 6 VAGINAL TAB 0.1GR|6|12.01
AGRIPPAL S1|1|33.35
AGRYLIN 0.5MG 100CAP|100|2212.63
AKNE-MYCIN PLUS SOL 25ML|25|55.62
AKNE-MYCIN SOL 25ML|25|16.71
ALCON AZOPT 1% 5ML|5|56.76
ALDACTONE 25MG 20T|20|9.8
ALDARA 5% CREAM 12SACH|12|321.46
ALDURAZYME 500U/5ML 1VIAL(5ML)|1|3687.58
ALENDRONATE TEVA 10MG 30TAB|30|78.47
ALENDRONATE TEVA 70MG 4TAB|4|48.08
ALFU-KAL XL 10MG 30TAB|30|70.07
ALFUZOSIN ER TEVA 10MG 30 XR TAB|30|70.07
ALIMTA 100MG/VIAL VIAL 10ML|1|1286
ALIMTA 500MG/VIAL VIAL 50ML|1|6356.43
ALKERAN  2MG 25 TABS|25|246.52
ALKERAN INJ 50MG/10ML|1|151.55
ALLEGRO NASAL SPRAY 15ML (120DOSES)|120|44.93
ALLORIL 100MG 50TAB|50|10.52
ALLORIL 300MG 20TAB|20|8.42
ALOMIDE 10ML|10|51.24
ALPHA D3 0.25MCG 30CAP|30|23.5
ALPHA D3 1MCG 30CAP|30|55.69
ALPRALID 0.25MG 30TAB|30|9.08
ALPRALID 0.50MG 30TAB|30|13.3
ALPRALID 1MG 30TAB|30|21.66
ALPROX 0.25MG 30TAB|30|9.08
ALPROX 0.50MG 30TAB|30|13.3
ALPROX 1MG 30TAB|30|21.66
AMARYL 1MG 30TAB|30|10.88
AMARYL 2MG 30TAB|30|15.76
AMARYL 3MG 30TAB|30|24.94
AMARYL 4MG 30TAB|30|28.41
AMIODACORE 200MG 30TAB|30|26.17
AMIODACORE INJECTION 150MG/3ML 6X3AMP|6|18.56
AMLODIPINE PHARMASWISS 10 MG 20TAB|20|13.02
AMLODIPINE PHARMASWISS 5 MG 20TAB|20|6.47
AMLODIPINE TEVA 10MG 20TAB|20|13.02
AMLODIPINE TEVA 5MG 20TAB|20|6.47
AMLOW 10MG 20TAB|20|13.02
AMLOW 5MG 20TAB|20|6.47
AMOXICLAV TEVA 875MG 14TAB|14|33.87
ANAFRANIL 25MG 30TAB|30|13.07
ANAFRANIL SR 75MG 20TAB|20|28.73
ANASTROL 1MG 30TAB|30|210.69
ANASTROZOLE 1MG 30TAB|30|210.69
ANASTROZOLE INOVAMED 1MG 30TAB|30|210.69
ANDROCUR 10MG 15TAB|15|28.37
ANDROCUR 50MG 50TAB|50|150.93
ANDROGEL 50MG 30SACHX5G|30|240.74
ANDROXON 40MG 30CAP|30|50.66
ANGELIQ 1X28TAB|28|91.53
APIDRA 100 IU/ML CART 5X3ML|15|171.97
APIDRA OPTISET/SOLOSTAR PREFILLED PEN 5X3ML|15|180.38
APIDRA VIAL 1X10ML|10|113.51
APO GO PEN 10MG/ML 5X3ML|5|616.29
APO-GO 10MG/ML 5AMPX2ML|5|269.05
APOVENT SOL 20ML|20|31.33
AQUIMOD CREAM 5 % 12SACHET (0.25G)|12|321.46
ARAGEST 2.5MG 30TAB|30|15.2
ARANESP 100MCG 4 PREFILLED SYR 0.5ML|4|3974.13
ARANESP 100MCG PREFILLED PEN 1X0.5ML|1|919
ARANESP 10MCG 4 PREFILLED SYR 0.4ML|4|406.25
ARANESP 150MCG 4 PREFILLED SYR 0.3ML|4|5803.68
ARANESP 150MCG PREFILLED PEN 1X0.3ML|1|1486.29
ARANESP 20MCG 4 PREFILLED SYR 0.5ML|4|667.89
ARANESP 300MCG PREFILLED PEN 1X0.6ML|1|2911.97
ARANESP 30MCG 4 PREFILLED SYR 0.3ML|4|1213.44
ARANESP 40MCG 4 PREFILLED SYR 0.4ML|4|1674.2
ARANESP 40MCG PREFILLED PEN 1X0.4ML|1|373.22
ARANESP 500MCG PREFILLED PEN 1X1ML|1|4815.83
ARANESP 50MCG 4 PREFILLED SYR 0.5ML|4|2092.75
ARANESP 60MCG 4 PREFILLED SYR 0.3ML|4|2412.96
ARANESP 60MCG PREFILLED PEN 1X0.3ML|1|557.51
ARANESP 80MCG 4 PREFILLED SYR 0.4ML|4|3212.83
ARANESP 80MCG PREFILLED PEN 1X0.4ML|1|738.35
ARAVA 10MG 30TAB|30|208.7
ARAVA 20MG 30TAB|30|228
ARCOXIA 120MG 7TAB|7|46.55
ARCOXIA 30MG 28TAB|28|99.67
ARCOXIA 60MG 10TAB|10|43.36
ARCOXIA 90MG 10TAB|10|46.99
AREDIA VIAL 90MG PWDR 10ML SOLV|1|562.19
AREDIA VIALS 2X30MG + 2x10ML SOLV|2|461.78
ARICEPT 10MG 28TAB|28|151.12
ARICEPT 5MG 28TAB|28|124.02
ARIMIDEX 1MG 28TAB|28|196.65
ARIPLY 10MG 28TAB|28|535.52
ARIPLY 15MG 28TAB|28|519.71
ARIPLY 30MG 28TAB|28|818.62
ARIPLY 5MG 28TAB|28|490.71
ARIXTRA 10MG/0.8ML 10 PREFIL SYR|10|811.04
ARIXTRA 2.5MG/0.5ML 10 PREFIL SYR|10|384.57
ARIXTRA 7.5MG/0.6ML 10 PREFIL.SYRINGE|10|811.04
AROMASIN 25MG 30TAB|30|311.51
ART 50 50MG 30CAPS|30|40.69
ARTHROTEC 50 20TAB|20|28.63
ARTHROTEC 75 20TAB|20|36.6
ARTHRYL 1500MG 30 SACHETS|30|51.99
ARZERRA 1000MG/50ML 1X50ML VIAL|1|13701.32
ARZERRA 100MG/5ML 3X5ML VIALS|3|4115.84
ASACOL 400MG 100TAB|100|163.82
ASACOL 800MG 60TAB|60|222.94
ASENTA 10MG 28TAB|28|151.12
ASENTA 5MG 28TAB|28|124.02
ASSIVAL 10MG 30TAB|30|13.41
ASSIVAL 10MG/2ML 5AMP|5|14.44
ASSIVAL 2MG 30TAB|30|8
ASSIVAL 5MG 30TAB|30|12.74
ATACAND 16MG 28TAB|28|39.48
ATACAND 8MG 28TAB|28|28.55
ATACAND PLUS 28TAB|28|40.21
ATORVASTATIN TEVA 10MG 30TAB|30|28.7
ATORVASTATIN TEVA 20MG 30TAB|30|35.46
ATORVASTATIN TEVA 40MG 30TAB|30|65.39
ATORVASTATIN TEVA 80MG 30TAB|30|74.63
ATOSIBAN 7.5MG/ML 0.9ML(6.75MG)|1|150.05
ATOSIBAN 7.5MG/ML 5ML (37.5MG)|5|2384.23
ATRIANCE 5MG/ML INJ 6X50ML VIALS|6|10184.51
ATRIPLA 30TAB|30|3992.26
ATROSPAN DRPS 1%10CC|10|27.34
ATROVENT INHALER 20MCG 200DOSES|200|31.7
ATZIRUT X  5MG 30TAB|30|23.89
AUBAGIO 14MG 28TAB|28|7888.92
AUGMENTIN 1.2G 10VIALS|10|148.88
AUGMENTIN 125MG 100ML|100|12.7
AUGMENTIN 250MG 100ML|100|20.36
AUGMENTIN 250MG 20TAB|20|26.02
AUGMENTIN 400MG SUSP 35ML|35|12.19
AUGMENTIN 400MG SUSP 70ML|70|24.39
AUGMENTIN 500MG 10VIALS|10|83.23
AUGMENTIN 500MG 20TAB|20|32.52
AUGMENTIN B.I.D 875MG 14TAB|14|33.87
AVAMYS 27.5MCG/DOSE 120DOSES|120|51.9
AVASTIN 100MG 25MG/ML VIAL 4ML|1|1744.05
AVASTIN 400MG 25MG/ML VIAL 16ML|1|6629.81
AVAXIM INJ SOL 1X0.5ML|1|118.09
AVODART 0.5MG 30CAPS|30|150.81
AVONEX 4X30MCG/ML SYRINGE|4|4093.97
AVONEX SOLUTION FOR INJECTION 30MCG/0.5ML 4PEN|4|4370.08
AZARGA 5ML|5|78.93
AZENIL 200MG 15ML|15|23.11
AZENIL 200MG 22.5ML|22.5|34.66
AZENIL 250MG 6CAPSULES|6|28.45
AZILECT 1MG 30TAB|30|504.84
AZITHROMYCIN TEVA 200MG/5ML 15ML|15|23.11
AZITHROMYCIN TEVA 200MG/5ML 22.5ML|22.5|34.66
BACLOSAL 10MG 50TAB|50|22.87
BACLOSAL 25MG 50TAB|50|41.55
BACTROBAN 15GR OINT|15|28.89
BACTROBAN NASAL 3GR|3|36.33
BARACLUDE 0.5 MG 30 F.C. TABS|30|2254.79
BARACLUDE 1 MG 30 F.C. TABS|30|2437.49
BEDODEKA 1MG/ML 100AMPX1ML|100|301.68
BEKUNIS 45 DRAGEES|45|26.97
BELARA 1X21TAB|21|48.21
BELARA 3X21TAB|63|131.97
BENEFIX 1000IU/VIAL I.V 1 VIAL|1|3769
BENEFIX 2000IU/VIAL I.V 1 VIAL|1|7519.97
BENEFIX 500 IU/VIAL I.V 1 VIAL|1|1893.54
BENLYSTA 1X120MG POWD FOR CONCENTRATE FOR INF VIAL 5ML|1|807.52
BENLYSTA 1X400MG PWD FOR CONCENTRATE FOR INF VIAL 20ML|1|2639.83
BERINERT 500U/VIAL POWDER FOR SOL FOR INJ/INF|1|2961.14
BETACAP 0.1% 100ML|100|49.5
BETACORTEN CREAM 15G|15|7.54
BETACORTEN G CR 15GR|15|51.78
BETACORTEN G OINT15G|15|51.78
BETACORTEN OINT 15GR|15|7.17
BETACORTEN TOPICAL SCALP  APPL SOL 30ML|30|14.85
BETAFERON 0.3MG/VIAL 15VIAL+SYR|15|3913.44
BETAHISTINE TEVA 16MG 30TAB|30|15.48
BETAREN 100MG 10 S.R.TAB|10|9.83
BETAREN 100MG 20 S.R.TAB|20|19.66
BETISTINE 16MG 30TAB|30|15.48
BETNESOL 0.50MG 30TAB|30|12.6
BETNOVATE CREAM 15G|15|7.54
BETNOVATE OINT 15G|15|7.17
BETNOVATE TOPICAL SCALP APPL SOL 30ML|30|14.85
BETOPTIC S 5ML 0.25%|5|24.26
BEZAFIBRATE 400MG 30 SR TAB|30|35
BICALUTAMIDE TEVA 150MG 30TAB|30|488.83
BICALUTAMIDE TEVA 50MG 30TAB|30|216.33
BICAMIDE 150MG 30F.C TAB|30|488.83
BIFONAZOLE CREAM 1% 15GR|15|25.06
BIO TROPIN 10MG VIAL|1|1442.92
BIO-TROPIN 4MG (12 IU) VIAL|1|558
BLASTOVIN 1VIAL 10MG/10ML|1|61.88
BLEOMYCIN PFI 15000 IU/VIAL 10 VIALS|10|1247.42
BONDORMIN 0.25MG 10TAB|10|13.08
BONEFOS 800MG 30TAB|30|405.67
BONSERIN 30MG 20TAB|20|17.25
BOOSTRIX POLIO (IPV) SYR. PREFILLED 0.5ML|1|123.56
BOOSTRIX SUSP FOR INJ PREFIL SYR 0.5ML|1|86.2
BOTOX 100 1VIAL|1|1033.53
BOTOX 200 U/VIAL|1|3553.98
BOTOX 50 UNITS VIAL 5ML|1|657.38
BRAVELLE 75IU 10AMP|10|860.04
BREXIN 20MG 20TAB|20|34.24
BRICALIN TURBUHALER 200DOSES|200|51.22
BRIDION 10X2ML VIALS|10|4269.08
BRIDION 10X5ML VIALS|10|11355.91
BRILINTA 90MG 168 TAB|168|1017.87
BRILINTA 90MG 56TAB|56|339.29
BROTIZOLAM-TEVA 0.25MG 10TAB|10|13.08
BUCCOLAM 10 MG SYRINGE PREFILLED 4X2ML|4|446.49
BUCCOLAM 2.5 MG SYRINGE PREFILLED 4X0.5ML|4|446.49
BUCCOLAM 5 MG SYRINGE PREFILLED 4X1ML|4|446.49
BUCCOLAM 7.5 MG SYRINGE PREFILLED 4X1.5ML|4|446.49
BUDESON 3MG 100CAPS|100|412.72
BUDESONIDE STERINEBS TEVA 0.5MG/2ML 20UNITS|20|97.85
BUDESONIDE STERINEBS TEVA 1MG/2ML 20UNITS|20|156.44
BUDICORT RESP1MG/2ML 20UNITS|20|156.44
BUDICORT RESPULES 0.5MG/2ML 20UNITS|20|97.85
BUDICORT TURBUHALER 100MCG/DOSE 200 DOSES|200|77.98
BUDICORT TURBUHALER 200MCG/DOSE 100DOSES|100|71.88
BUTRANS  20MG 2PATCHES|2|223.4
BUTRANS 10MG 2PATCHES|2|131.82
BUTRANS 5MG 2PATCHES|2|84.87
BYDUREON 2 MG 4 PREFILLED SYRINGE|4|515.7
BYETTA 10MCG 2.4ML|1|490.83
BYETTA 5MCG 1.2ML|1|470.42
CABOTRIM 0.5MG 2TAB|2|50.6
CABOTRIM 0.5MG 8TAB|8|184.68
CABOTRIM 1MG 30TAB
CABOTRIM 1MG 30TAB|30|91.61
CABOTRIM 2MG 30TAB|30|170.19
CADEX 1MG 30TAB|30|17.55
CADEX 2MG 30CAPL|30|15.63
CADEX 4MG 30CAPL|30|26.44
CAELYX 2MG/ML 25ML|1|3435.24
CAELYX 2MG/ML VIAL 10ML|1|2257.81
CAMPTO 100MG/5ML IV SOL FOR INF|1|480.33
CAMPTO 300MG IV SOL FOR INF|1|1414.28
CAMPTO 40MG/2ML IV SOL FOR INF|1|210.88
CANCIDAS 50MG/VIAL|1|2435.56
CANCIDAS 70MG/VIAL|1|3095.11
CANDESARTAN PLUS TEVA TABLETS 16MG/12.5MG| 30TAB|30|43.09
CANDOR 16MG 28TAB|28|39.48
CANDOR 8MG 28TAB|28|28.55
CANDOR PLUS 16MG/12.5MG 28TAB|28|40.21
CAPECITABINE TEVA 150MG 60TAB|60|145.49
CAPECITABINE TEVA 500MG 12X10TAB|120|876.12
CAPRELSA 100 MG 30TAB|30|9581.28
CARBAGLU 200MG 5 DISP.TAB|5|1939.19
CARBAGLU 200MG 60 DISP.TAB|60|23270.24
CARDILOC 1.25MG 30 F.C.TAB|30|21.26
CARDILOC 10MG 30TAB|30|19.02
CARDILOC 2.5MG 30TAB|30|16.39
CARDILOC 5MG 30TAB|30|12.88
CARDIOXANE 500MG VIAL PWDR FOR INFUS|1|545.17
CARDORAL 1MG 30TAB|30|17.55
CARDORAL 4MG 30TAB|30|26.44
CARDOXIN AMPOULES 10MG/2ML 50AMP|50|59.48
CARDOXIN FRTE 75MG 100TAB|100|28.82
CARVEDEXXON 12.5MG 30TAB|30|26.44
CARVEDEXXON 6.25MG 30TAB|30|18.03
CARVEDILOL TEVA 12.5MG 30TAB|30|26.44
CARVEDILOL TEVA 6.25MG 30TAB|30|18.03
CASODEX 150MG 28TAB|28|456.24
CASODEX 50MG 28TAB|28|201.91
CATAFLAM 50MG 10TAB|10|11.35
CAVERJECT 10MCG V+DS|1|51.59
CAVERJECT 20MCG V+DS|1|70.34
CAYSTON  75MG/VIAL 84 VIALS|84|12588.43
CEDAX SUSP 60ML|60|89.08
CEFALOR 500MG 10CAP|10|24.64
CEFAZOLIN SANDOZ 0.5GR 100VIAL|100|966.5
CEFAZOLIN SANDOZ 0.5GR 10VIAL|10|110.63
CEFAZOLIN SANDOZ 0.5GR 1VIAL|1|11.27
CEFAZOLIN SANDOZ 0.5GR 25VIAL|25|241.62
CEFAZOLIN SANDOZ 0.5GR 50VIAL|50|483.25
CEFAZOLIN SANDOZ 0.5GR 5VIAL|5|55.32
CEFAZOLIN SANDOZ 1GR 100VIAL|100|702.65
CEFAZOLIN SANDOZ 1GR 10VIAL|10|80.43
CEFAZOLIN SANDOZ 1GR 1VIAL|1|8.19
